표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7310210000,310210,보로노이,보로노이,"Voronoi, Inc.",2022/06/24,KOSDAQ,주권,기술성장기업부,보통주,500,"12,647,869",제약
KR7006910004,006910,보성파워텍,보성파워텍,"BOSUNG POWER TECHNOLOGY CO., LTD.",1994/09/07,KOSDAQ,주권,중견기업부,보통주,500,"49,129,824",금속
KR7000890004,000890,보해양조보통주,보해양조,BohaeBrewery,1988/09/23,KOSPI,주권,,보통주,500,"139,120,129",음식료품
KR7226340008,226340,본느,본느,"Bonne Co., Ltd.",2015/11/05,KOSDAQ,주권,중견기업부,보통주,100,"30,699,596",화학
KR7206950008,206950,볼빅,볼빅,Volvik,2015/12/30,KONEX,주권,일반기업부,보통주,500,"5,280,422",#N/A
KR7008470007,008470,부-스타,부스타,"BOOSTER CO., LTD",2011/02/23,KOSDAQ,주권,우량기업부,보통주,500,"8,404,800",금속
KR7003000007,003000,부광약품보통주,부광약품,BukwangPharmaceutical,1988/08/05,KOSPI,주권,,보통주,500,"71,063,049",의약품
KR7001271006,001275,부국증권1우선주,부국증권우,BookookSecurities(1P),1989/11/10,KOSPI,주권,,구형우선주,"5,000","3,000,000",금융업
KR7001270008,001270,부국증권보통주,부국증권,BookookSecurities,1988/07/19,KOSPI,주권,,보통주,"5,000","10,369,886",금융업
KR7026940007,026940,부국철강 보통주,부국철강,Bookook Steel,2008/10/14,KOSPI,주권,,보통주,500,"20,000,000",철강금속
KR7014470009,014470,부방,부방,"Bubang Co., Ltd.",1994/02/25,KOSDAQ,주권,중견기업부,보통주,500,"60,052,260",금융
KR7011390002,011390,부산산업보통주,부산산업,BusanIndustrial,1990/09/14,KOSPI,주권,,보통주,"5,000","1,056,000",비금속광물
KR7005030002,005030,부산주공보통주,부산주공,PusanCastIron,1975/12/26,KOSPI,주권,,보통주,500,"72,928,988",운수장비
KR7338220007,338220,뷰노,뷰노,"VUNO, Inc.",2021/02/26,KOSDAQ,주권,기술성장기업부,보통주,100,"11,379,656",IT S/W & SVC
KR7100120005,100120,뷰웍스,뷰웍스,"Vieworks Co., Ltd.",2009/04/10,KOSDAQ,주권,우량기업부,보통주,500,"10,001,865",의료·정밀기기
KR7337930002,337930,브랜드엑스코퍼레이션,브랜드엑스코퍼레이션,"Brand X Co., Ltd.",2020/08/13,KOSDAQ,주권,우량기업부,보통주,500,"29,266,589",IT S/W & SVC
KR7099390007,099390,브레인즈컴퍼니,브레인즈컴퍼니,"Brainzcompany Co., Ltd.",2021/08/19,KOSDAQ,주권,벤처기업부,보통주,500,"8,208,283",IT S/W & SVC
KR7064480007,064480,브리지텍,브리지텍,BRIDGETEC Corp.,2008/06/04,KOSDAQ,주권,벤처기업부,보통주,500,"11,952,500",IT S/W & SVC
