표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7437350002,437350,KB KBSTAR 미국단기투자등급회사채액티브증권상장지수투자신탁(채권),KBSTAR 미국단기투자등급회사채액티브,2022/07/29,Bloomberg US Corporate 1-5 Years Total Return Index,Bloomberg,채권
KR7449580000,449580,KB KBSTAR 미국빅데이터Top3채권혼합iSelect증권상장지수투자신탁(채권혼합),KBSTAR 미국빅데이터Top3채권혼합iSelect,2022/12/20,iSelect 미국 빅데이터Top3 채권혼합지수(Price Return),NH투자증권,혼합자산
KR7267490001,267490,KB KBSTAR 미국장기국채선물레버리지증권상장지수투자신탁(채권-파생형)(합성 H),KBSTAR 미국장기국채선물레버리지(합성 H),2017/04/20,S&P U.S. Treasury Bond Futures Excess Return Index,S&P,채권
KR7267500007,267500,KB KBSTAR 미국장기국채선물인버스2X증권상장지수투자신탁(채권-파생형)(합성 H),KBSTAR 미국장기국채선물인버스2X(합성 H),2017/04/20,S&P U.S. Treasury Bond Futures Excess Return Index,S&P,채권
KR7267450005,267450,KB KBSTAR 미국장기국채선물인버스증권상장지수투자신탁(채권-파생형)(H),KBSTAR 미국장기국채선물인버스(H),2017/04/20,S&P U.S. Treasury Bond Futures Excess Return Index,S&P,채권
KR7267440006,267440,KB KBSTAR 미국장기국채선물증권상장지수투자신탁(채권-파생형)(H),KBSTAR 미국장기국채선물(H),2017/04/20,S&P U.S. Treasury Bond Futures Excess Return Index,S&P,채권
KR7446700007,446700,KB KBSTAR 배터리 리사이클링iSelect증권상장지수투자신탁(주식),KBSTAR 배터리 리사이클링iSelect,2022/11/01,iSelect 배터리 리사이클링 지수,NH투자증권,주식
KR7388420002,388420,KB KBSTAR 비메모리반도체액티브증권상장지수투자신탁(주식),KBSTAR 비메모리반도체액티브,2021/06/10,iSelect 비메모리반도체 지수(시장가격지수),NH투자증권,주식
KR7448630004,448630,KB KBSTAR 삼성그룹Top3채권혼합블룸버그증권상장지수투자신탁(채권혼합),KBSTAR 삼성그룹Top3채권혼합블룸버그,2022/11/29,Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index,Bloomberg,혼합자산
KR7140570003,140570,KB KBSTAR 수출주증권상장지수투자신탁(주식),KBSTAR 수출주,2011/04/15,MKF 수출주 지수,FnGuide,주식
KR7140580002,140580,KB KBSTAR 우량업종대표주증권상장지수투자신탁(주식),KBSTAR 우량업종,2011/04/15,MKF 우량업종대표주 지수,FnGuide,주식
KR7379790009,379790,KB KBSTAR 유로스탁스50증권상장지수투자신탁(주식)(H),KBSTAR 유로스탁스50(H),2021/04/09,EURO STOXX 50 Index,STOXX,주식
KR7183710003,183710,KB KBSTAR 주식혼합증권상장지수투자신탁(주식혼합-파생형),KBSTAR 주식혼합,2013/10/17,주식국채혼합(주식형)지수,KRX,혼합자산
KR7310080007,310080,KB KBSTAR 중국MSCI China증권상장지수투자신탁(주식)(H),KBSTAR 중국MSCI China(H),2018/11/28,MSCI China NTR Index(USD) (Net Total Return),MSCI,주식
KR7174360008,174360,KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),KBSTAR 중국본토대형주CSI100,2013/06/04,CSI 100,CSI,주식
